meta.config,problem.n,problem.nb,meta.cycle,distr.procs,distr.hosts,stc.code,stc.mpi,stc.mpic,result.time
hpl,400000000,65540,1.0,64,8,4.032521127641081e+23,1.9204800719641595e+22,2.168404344971009e-19,9.7
hpl,1600000000,65540,1.0,16,2,1.2903233467848955e+25,6.144768057574991e+23,2.168404344971009e-19,94.42
hpl,900000000,1048580,1.0,64,8,3.06206374991577e+24,1.4582430242889385e+23,2.168404344971009e-19,35.24
hpl,100000000,1048580,1.0,64,8,1.260325967504323e+22,6.003000899437222e+20,2.168404344971009e-19,3.92
hpl,900000000,262140,1.0,16,2,3.06206374991577e+24,1.4582430242889385e+23,2.168404344971009e-19,53.08
hpl,2500000000,1048580,1.0,16,2,3.9377034669352526e+25,1.8751875112452636e+24,2.168404344971009e-19,304.83
hpl,1600000000,1048580,1.0,16,2,1.2903233467848955e+25,6.144768057574991e+23,2.168404344971009e-19,140.22
hpl,400000000,262140,1.0,64,8,4.032521127641081e+23,1.9204800719641595e+22,2.168404344971009e-19,11.7
hpl,900000000,262140,1.0,64,8,3.06206374991577e+24,1.4582430242889385e+23,2.168404344971009e-19,24.43
hpl,100000000,1048580,1.0,64,8,1.260325967504323e+22,6.003000899437222e+20,2.168404344971009e-19,4.06
hpl,900000000,65540,1.0,36,4,3.06206374991577e+24,1.4582430242889385e+23,2.168404344971009e-19,33.35
hpl,100000000,1048580,1.0,36,4,1.260325967504323e+22,6.003000899437222e+20,2.168404344971009e-19,5.04
hpl,900000000,262140,1.0,64,8,3.06206374991577e+24,1.4582430242889385e+23,2.168404344971009e-19,24.12
hpl,100000000,65540,1.0,16,2,1.260325967504323e+22,6.003000899437222e+20,2.168404344971009e-19,3.3
hpl,2500000000,262140,1.0,16,2,3.9377034669352526e+25,1.8751875112452636e+24,2.168404344971009e-19,272.85
hpl,400000000,1048580,1.0,64,8,4.032521127641081e+23,1.9204800719641595e+22,2.168404344971009e-19,17.41
hpl,400000000,1048580,1.0,16,2,4.032521127641081e+23,1.9204800719641595e+22,2.168404344971009e-19,24.14
hpl,400000000,1048580,1.0,64,8,4.032521127641081e+23,1.9204800719641595e+22,2.168404344971009e-19,17.4
hpl,900000000,262140,1.0,16,2,3.06206374991577e+24,1.4582430242889385e+23,2.168404344971009e-19,52.21
hpl,100000000,65540,1.0,16,2,1.260325967504323e+22,6.003000899437222e+20,2.168404344971009e-19,3.38
hpl,2500000000,65540,1.0,36,4,3.9377034669352526e+25,1.8751875112452636e+24,2.168404344971009e-19,114.0
sw1,1937000,30270,,8,1,7231449498959.509,6303759.968810918,2.9999999999999996,0.2299
sw1,7747990,121060,,16,2,115682711850453.86,25190415.98439026,2.9999999999999996,0.46015
sw1,17432970,272390,,24,3,585609227966832.0,56659983.98959007,2.9999999999999996,1.82066
sw1,30991950,484250,,32,4,1850759865487930.5,100712463.99219114,2.9999999999999996,1.46863
sw1,69731880,1089560,,48,6,9369196108941248.0,226566159.9947931,2.9999999999999996,3.0508
sw1,123967790,1937000,,64,8,2.961085091787987e+16,402751503.99609536,2.9999999999999996,6.0032
sw1,3026560,37830,,8,1,17653655025691.98,11076497.971918883,2.9999999999999996,0.38279
sw1,12106230,151330,,16,2,282418511149468.56,44271377.9859485,2.9999999999999996,0.7668
sw1,27239020,340490,,24,3,1429676357307172.5,99123617.9073401,2.9999999999999996,2.996
sw1,48424920,605310,,32,4,4518376918781094.0,176401697.9304957,2.9999999999999996,2.6634
sw1,108956070,1361950,,48,6,2.2873744770539588e+16,396391217.9120026,2.9999999999999996,4.35282
sw1,193699670,2421250,,64,8,7.229147859561362e+16,704239937.9027544,2.9999999999999996,13.08412
sw1,4358240,45400,,8,1,36604891200041.08,17496307.72431727,2.9999999999999996,0.54532
sw1,17432970,181590,,16,2,585609227966832.0,69497011.61223154,2.9999999999999996,1.09311
sw1,39224180,408590,,24,3,2964530359783498.0,156666259.65813455,2.9999999999999996,2.68205
sw1,69731880,726370,,32,4,9369196108941248.0,277897555.6186141,2.9999999999999996,3.84452
sw1,156896730,1634340,,48,6,4.743062511248572e+16,625201651.6207427,2.9999999999999996,6.31261
sw1,278927530,2905500,,64,8,1.4990272827309322e+17,1111409299.6218064,2.9999999999999996,13.22777
sw1,5932050,52960,,8,1,67812794937184.45,25618341.226309888,2.9999999999999996,0.73663
sw1,23728210,211860,,16,2,1084895140342759.0,102416181.23814848,2.9999999999999996,1.47745
sw1,53388470,476680,,24,3,5492096915457496.0,229490037.1587952,2.9999999999999996,3.5157
sw1,94912840,847440,,32,4,1.7357446583790866e+16,408345861.1815895,2.9999999999999996,5.14476
sw1,213553890,1906730,,48,6,8.787059637549571e+16,917789397.1627293,2.9999999999999996,8.2329
sw1,1937000,30270,,8,1,7231449498959.509,6303759.968810918,2.9999999999999996,0.22988
sw1,7747990,121060,,16,2,115682711850453.86,25190415.98439026,2.9999999999999996,0.46018
sw1,17432970,272390,,24,3,585609227966832.0,56659983.98959007,2.9999999999999996,1.76083
sw1,30991950,484250,,32,4,1850759865487930.5,100712463.99219114,2.9999999999999996,1.41715
sw1,69731880,1089560,,48,6,9369196108941248.0,226566159.9947931,2.9999999999999996,2.85123
sw1,123967790,1937000,,64,8,2.961085091787987e+16,402751503.99609536,2.9999999999999996,6.02332
sw1,3026560,37830,,8,1,17653655025691.98,11076497.971918883,2.9999999999999996,0.38277
sw1,12106230,151330,,16,2,282418511149468.56,44271377.9859485,2.9999999999999996,0.76677
sw1,27239020,340490,,24,3,1429676357307172.5,99123617.9073401,2.9999999999999996,3.11629
sw1,48424920,605310,,32,4,4518376918781094.0,176401697.9304957,2.9999999999999996,2.46077
sw1,108956070,1361950,,48,6,2.2873744770539588e+16,396391217.9120026,2.9999999999999996,4.35522
sw1,193699670,2421250,,64,8,7.229147859561362e+16,704239937.9027544,2.9999999999999996,9.35654
sw1,4358240,45400,,8,1,36604891200041.08,17496307.72431727,2.9999999999999996,0.54535
sw1,17432970,181590,,16,2,585609227966832.0,69497011.61223154,2.9999999999999996,1.09307
sw1,39224180,408590,,24,3,2964530359783498.0,156666259.65813455,2.9999999999999996,2.61602
sw1,69731880,726370,,32,4,9369196108941248.0,277897555.6186141,2.9999999999999996,3.70659
sw1,156896730,1634340,,48,6,4.743062511248572e+16,625201651.6207427,2.9999999999999996,6.42027
sw1,278927530,2905500,,64,8,1.4990272827309322e+17,1111409299.6218064,2.9999999999999996,13.30228
sw1,5932050,52960,,8,1,67812794937184.45,25618341.226309888,2.9999999999999996,0.73664
sw1,23728210,211860,,16,2,1084895140342759.0,102416181.23814848,2.9999999999999996,1.47751
sw1,53388470,476680,,24,3,5492096915457496.0,229490037.1587952,2.9999999999999996,3.44408
sw1,94912840,847440,,32,4,1.7357446583790866e+16,408345861.1815895,2.9999999999999996,5.07474
sw1,213553890,1906730,,48,6,8.787059637549571e+16,917789397.1627293,2.9999999999999996,7.97666
sw1,379651360,3389740,,64,8,2.7771214390890893e+17,1633155573.1845453,2.9999999999999996,17.53868
sw1,7747990,60530,,8,1,115682711850453.86,35817622.72780484,2.9999999999999996,0.95655
sw1,30991950,242120,,16,2,1850759865487930.5,143200534.73889706,2.9999999999999996,1.91962
sw1,69731880,544780,,24,3,9369196108941248.0,320968726.6592911,2.9999999999999996,4.57549
sw1,123967790,968500,,32,4,2.961085091787987e+16,571089046.6819617,2.9999999999999996,6.34132
sw1,278927530,2179120,,48,6,1.4990272827309322e+17,1283665942.662979,2.9999999999999996,10.08865
sw1,9806050,68100,,8,1,185297696251334.88,47817239.979184814,2.9999999999999996,1.20539
sw1,39224180,272390,,16,2,2964530359783498.0,191185943.9895878,2.9999999999999996,2.42085
sw1,88254410,612880,,24,3,1.500754242939752e+16,430106135.9930582,2.9999999999999996,5.93273
sw1,156896730,1089560,,32,4,4.743062511248572e+16,764577815.9947927,2.9999999999999996,8.58075
sw1,353017650,2451510,,48,6,2.4011440099160986e+17,1720175639.9965274,2.9999999999999996,12.9551
sw1,12106230,75660,,8,1,282418511149468.56,62717785.480093576,2.9999999999999996,1.53044
